Species,Method,Abundance,F,CV,Error_para,Scenario
Medium-lived,LBRA,-0.523761625,0.081844564,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.504969285,0.059615802,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.47706932,0.018405194,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.519811519,0.077337928,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.49943714,0.052530138,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.447296383,-0.075744807,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.11156026,-0.449910346,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.47969451,0.023105009,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.442280799,-0.099438157,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.438080618,-0.117506653,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.244132252,-0.355893957,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.420426327,-0.175946003,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.46296535,-0.013494387,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.588857989,0.15705113,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.440369145,-0.107896916,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.461113529,-0.018981998,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.44237381,-0.099016895,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.273377137,-0.338908472,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.424492269,-0.164496603,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.425751412,-0.160743083,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.442153011,-0.100015502,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.549260394,0.110159952,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.496852346,0.049092797,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.437690448,-0.119088964,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.43347767,-0.135194332,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.488383247,0.037089217,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.473556666,0.011654329,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.403766124,-0.214126504,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.401987163,-0.217523758,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.45979339,-0.023167907,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.497575805,0.050063994,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.439966259,-0.109629765,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.513914698,0.070472575,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.461735748,-0.017090379,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.410484432,-0.20021632,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.458526574,-0.027421357,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.3390077,-0.294003811,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.59866241,0.170528912,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.644743873,0.269762233,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.427346451,-0.155835855,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.356257431,-0.278552821,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.47475394,0.014021317,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.438992213,-0.113746537,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.658561867,0.346124428,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.442952563,-0.096376409,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.487514425,0.035779583,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.445546491,-0.084186135,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.398420836,-0.224009928,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.451654776,-0.055036643,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.148540937,-0.416481898,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.602677077,0.176426456,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.450266529,-0.061479469,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.652498565,0.304608127,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.466912411,-0.003057944,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.401750076,-0.217968146,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.478756142,0.021455388,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.374677125,-0.258604307,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.308802558,-0.316532659,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.456061402,-0.0364266,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.42271383,-0.169626596,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.444521975,-0.08906224,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.447288012,-0.075785354,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.412300175,-0.196136329,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.413926372,-0.19235605,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.438986826,-0.113769019,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.561879705,0.124311674,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.227385358,-0.365468634,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.477073735,0.018413328,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.458101876,-0.028902364,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.543203861,0.103465756,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.430850632,-0.144407837,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.460097436,-0.022182267,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.45494482,-0.040840544,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.415893773,-0.187615576,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.566580806,0.129710609,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.559053684,0.121105689,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.488777794,0.037678457,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.616121313,0.198412939,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.473721649,0.01198486,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.302582726,-0.320694841,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.413572377,-0.193189378,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.316389079,-0.311271503,Base,K,Medium CV*Equilibrium
Medium-lived,LBRA,-0.420744545,-0.175084986,Base,K,Medium CV*Equilibrium
Medium-lived,LBSPR,-0.24540884,0.226674865,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.196878883,0.205734825,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.257772126,0.229257898,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.110254027,0.171163664,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.188019129,0.203255433,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.256824785,0.230230319,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.178446791,0.195682386,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.163162133,0.187488774,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.173056298,0.195174447,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.226230192,0.214473232,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.115372396,0.172557285,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.184449285,0.201213399,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.245049703,0.227004951,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.337414951,0.263203766,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.13933691,0.180548526,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.210588728,0.208560416,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.208986506,0.210301231,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.150389864,0.181959517,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.1580149,0.186503575,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.171949679,0.196226972,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.1520084,0.186315428,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.160515165,0.189997452,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.203485009,0.204745033,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.324701946,0.259376457,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.170460571,0.192056372,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.211279295,0.207882393,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.217234539,0.21277204,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.294923691,0.244629583,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.236522337,0.219942427,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.18271053,0.197247855,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.125062469,0.175971789,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.214138313,0.210534064,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.184588437,0.201085464,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.211100312,0.208023126,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.289400594,0.245796297,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.232909353,0.218497503,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.231536845,0.219785657,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.21149372,0.213179015,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.140889856,0.179156701,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.161595268,0.18891176,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.217850326,0.212238626,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.223110907,0.217681472,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.165620763,0.190818094,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.174243905,0.194063941,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.248972037,0.228046314,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.250097579,0.226854628,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.185887748,0.199725198,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.161322834,0.189218515,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.214757661,0.209952531,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.154367827,0.18416784,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.183896576,0.19608475,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.24447195,0.222251025,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.187328,0.198342981,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.274921323,0.236391536,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.120298315,0.174164724,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.086083152,0.155743513,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.230000491,0.216065012,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.27004247,0.236757263,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.173441603,0.194822343,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.216112081,0.214039614,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.059715571,0.147056564,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.210377446,0.208905244,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.166208026,0.190402454,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.206314718,0.207464169,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.252249965,0.22988063,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.196537396,0.206042415,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.31421871,0.257243146,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.118245425,0.170037597,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.198783164,0.203919381,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.074007142,0.153642277,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.179146443,0.194986741,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.250272854,0.226698746,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.170874929,0.191530325,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.263466867,0.233439167,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.282191208,0.238570852,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.190376794,0.20100266,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.234520498,0.222120754,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.207949137,0.211348724,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.203498576,0.20473161,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.243183978,0.223669807,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.241879972,0.224984366,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.216114046,0.214032035,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.136193024,0.177688964,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.297938026,0.246168383,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.171948955,0.196229578,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.187845516,0.197861707,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.143293417,0.182891638,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.226404785,0.214547505,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.185524275,0.200045496,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.191831569,0.199561593,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.240407677,0.221276349,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.134186288,0.17934504,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.137194079,0.176705556,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.165510194,0.191005102,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.110753208,0.170705544,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.174093652,0.194169846,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.283527961,0.242208357,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.242260275,0.224694583,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.280582466,0.240488253,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.236254949,0.220239223,Low,M,Low CV*Equilibrium
Medium-lived,LBSPR,-0.16874472,0.156223516,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.2188877,0.222293432,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.154908246,0.139706038,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.295190659,0.348927436,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.227389307,0.23881091,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.155963603,0.139706038,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.236472713,0.249822563,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.250405909,0.271845868,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.241438519,0.260834216,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.189186313,0.183752648,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.291064584,0.337915783,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.23084736,0.244316737,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.169128627,0.156223516,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.053818131,0.01857786,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.2711672,0.304880826,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.205226905,0.205775953,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.207100115,0.205775953,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.261604915,0.288363347,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.254930232,0.277351694,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.242409778,0.260834216,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.260271761,0.288363347,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.253190393,0.277351694,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.212505196,0.216787605,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.071708894,0.035095339,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.243938352,0.260834216,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.204671431,0.205775953,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.19853305,0.1947643,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.110674057,0.084647775,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.178335134,0.167235169,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.232438046,0.244316737,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.28328602,0.326904131,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.201795511,0.200270127,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.230750834,0.244316737,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.204801605,0.205775953,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.11745168,0.090153601,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.182230286,0.172740995,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.183705734,0.172740995,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.20439238,0.205775953,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.269826921,0.304880826,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.2517678,0.277351694,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.197918488,0.1947643,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.192426649,0.189258474,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.248135569,0.266340042,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.240311429,0.255328389,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.164611997,0.15071769,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.163383692,0.15071769,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.229347632,0.23881091,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.252153559,0.277351694,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.201083067,0.200270127,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.258270589,0.282857521,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.231384352,0.244316737,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.169639696,0.156223516,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.228121793,0.23881091,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.134923739,0.112176906,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.287013585,0.332409957,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.31393873,0.381962393,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.185273798,0.178246821,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.140810298,0.117682733,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.241041859,0.255328389,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.199712764,0.1947643,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.333401225,0.414997351,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.205576854,0.205775953,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.247802612,0.266340042,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.209673499,0.211281779,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.161101081,0.145211864,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.219206947,0.227799258,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.08583434,0.051612817,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.288676099,0.332409957,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.217098775,0.222293432,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.3229651,0.398479872,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.235814246,0.249822563,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.163346658,0.15071769,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.243262669,0.260834216,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.148213619,0.128694385,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.126213551,0.101165254,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.225212098,0.233305084,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.180500487,0.172740995,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.208003087,0.211281779,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.212566591,0.216787605,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.171099844,0.156223516,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.172548449,0.161729343,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.199710758,0.1947643,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.273931674,0.310386652,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.106807192,0.079141949,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.242410441,0.260834216,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.227632882,0.23881091,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.267990408,0.299374999,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.189352919,0.183752648,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.229703549,0.23881091,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.223726701,0.233305084,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.174194853,0.161729343,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.27548812,0.310386652,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.272976475,0.310386652,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.248306521,0.271845868,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.294794805,0.34342161,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.240425558,0.255328389,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.124708486,0.101165254,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.172104038,0.161729343,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.128219363,0.101165254,Low,K,Low CV*Equilibrium
Medium-lived,LBSPR,-0.178639644,0.167235169,Low,K,Low CV*Equilibrium
Medium-lived,LBB,-0.285720254,-0.169584825,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.230211802,-0.184261084,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.302093109,-0.152065937,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.140884468,-0.232696368,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.219850025,-0.196144593,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.313006413,-0.128035439,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.235136951,-0.16842397,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.183302067,-0.215349741,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.200065578,-0.210771875,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.273643517,-0.177947577,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.131445625,-0.24020429,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.234339108,-0.173928938,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.289817809,-0.157975762,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.396563577,-0.089879079,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.161104425,-0.227887981,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.251540151,-0.17933614,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.247350125,-0.17982333,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.18693019,-0.203179319,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.186727969,-0.210224444,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.226882582,-0.174345288,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.1835309,-0.206283875,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.185317656,-0.219080785,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.248807797,-0.174727911,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.378411925,-0.104089889,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.202659204,-0.206914229,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.253675042,-0.177504424,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.256130918,-0.175000759,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.328046651,-0.138499725,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.283031052,-0.152314979,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.21115565,-0.191281559,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.160542569,-0.215520703,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.244147267,-0.180902641,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.204428618,-0.206580897,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.266378368,-0.155135581,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.334645994,-0.132427585,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.275857316,-0.156487645,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.27409632,-0.170336303,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.249931482,-0.176506918,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.171105579,-0.214665704,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.20194145,-0.199459445,Low,M,Low CV*Equilibrium
Medium-lived,LBB,-0.253532119,-0.171841471,Low,M,Low CV*Equilibrium
